disease_id	name	url
DIS000001	Radiation pressure	http://en.wikipedia.org/wiki/Radiation_pressure
DIS000002	Skein (hash function)	http://en.wikipedia.org/wiki/Skein_(hash_function)
DIS000003	Bit slip	http://en.wikipedia.org/wiki/Bit_slip
DIS000004	Otic polyp	http://en.wikipedia.org/wiki/Otic_polyp
DIS000005	Abdominal pain	http://en.wikipedia.org/wiki/Abdominal_pain
DIS000006	Luminosity	http://en.wikipedia.org/wiki/Luminosity
DIS000007	Alcohol-related brain damage	http://en.wikipedia.org/wiki/Alcohol-related_brain_damage
DIS000008	Risk premium	http://en.wikipedia.org/wiki/Risk_premium
DIS000009	Actual gold weight	http://en.wikipedia.org/wiki/Actual_gold_weight
DIS000010	Sandwiches de miga	http://en.wikipedia.org/wiki/Sandwiches_de_miga
DIS000011	Citrus black spot	http://en.wikipedia.org/wiki/Citrus_black_spot
DIS000012	Hypersegmented neutrophil	http://en.wikipedia.org/wiki/Hypersegmented_neutrophil
DIS000013	Mach tuck	http://en.wikipedia.org/wiki/Mach_tuck
DIS000014	Citrus greening disease	http://en.wikipedia.org/wiki/Citrus_greening_disease
DIS000015	Puppy pregnancy syndrome	http://en.wikipedia.org/wiki/Puppy_pregnancy_syndrome
DIS000016	Portal venous pressure	http://en.wikipedia.org/wiki/Portal_venous_pressure
DIS000017	Oligodendrocyte progenitor cell	http://en.wikipedia.org/wiki/Oligodendrocyte_progenitor_cell
DIS000018	Behrens–Fisher problem	http://en.wikipedia.org/wiki/Behrens–Fisher_problem
DIS000019	Quincunx	http://en.wikipedia.org/wiki/Quincunx
DIS000020	Nausea	http://en.wikipedia.org/wiki/Nausea
DIS000021	Acrospiroma	http://en.wikipedia.org/wiki/Acrospiroma
DIS000022	Check (chess)	http://en.wikipedia.org/wiki/Check_(chess)
DIS000023	Salmon poisoning disease	http://en.wikipedia.org/wiki/Salmon_poisoning_disease
DIS000024	Direct labour cost variance	http://en.wikipedia.org/wiki/Direct_labour_cost_variance
DIS000025	Extinction event	http://en.wikipedia.org/wiki/Extinction_event
DIS000026	Vilsmeier–Haack reaction	http://en.wikipedia.org/wiki/Vilsmeier–Haack_reaction
DIS000027	Sequela	http://en.wikipedia.org/wiki/Sequela
DIS000028	Fused grid	http://en.wikipedia.org/wiki/Fused_grid
DIS000029	Microkernel	http://en.wikipedia.org/wiki/Microkernel
DIS000030	Orthokeratosis	http://en.wikipedia.org/wiki/Orthokeratosis
DIS000031	Reactions on surfaces	http://en.wikipedia.org/wiki/Reactions_on_surfaces
DIS000032	Real-time computer graphics	http://en.wikipedia.org/wiki/Real-time_computer_graphics
DIS000033	Blue bottle experiment	http://en.wikipedia.org/wiki/Blue_bottle_experiment
DIS000034	Edge case	http://en.wikipedia.org/wiki/Edge_case
DIS000035	Psychogenic pain	http://en.wikipedia.org/wiki/Psychogenic_pain
DIS000036	Operator (physics)	http://en.wikipedia.org/wiki/Operator_(physics)
DIS000037	Distributed artificial intelligence	http://en.wikipedia.org/wiki/Distributed_artificial_intelligence
DIS000038	DLCO	http://en.wikipedia.org/wiki/DLCO
DIS000039	Metastatic calcification	http://en.wikipedia.org/wiki/Metastatic_calcification
DIS000040	Necrobiotic xanthogranuloma	http://en.wikipedia.org/wiki/Necrobiotic_xanthogranuloma
DIS000041	LGBT rights in Maryland	http://en.wikipedia.org/wiki/LGBT_rights_in_Maryland
DIS000042	Skin fissure	http://en.wikipedia.org/wiki/Skin_fissure
DIS000043	Recto-vesical pouch	http://en.wikipedia.org/wiki/Recto-vesical_pouch
DIS000044	Culture of Albania	http://en.wikipedia.org/wiki/Culture_of_Albania
DIS000045	Muscle coactivation	http://en.wikipedia.org/wiki/Muscle_coactivation
DIS000046	Katrina cough	http://en.wikipedia.org/wiki/Katrina_cough
DIS000047	Canine degenerative myelopathy	http://en.wikipedia.org/wiki/Canine_degenerative_myelopathy
DIS000048	Aosaginohi	http://en.wikipedia.org/wiki/Aosaginohi
DIS000049	Survivorship bias	http://en.wikipedia.org/wiki/Survivorship_bias
DIS000050	Smith's fracture	http://en.wikipedia.org/wiki/Smith's_fracture
DIS000051	Duplicity (law)	http://en.wikipedia.org/wiki/Duplicity_(law)
DIS000052	Plumbosolvency	http://en.wikipedia.org/wiki/Plumbosolvency
DIS000053	Chromatin bridge	http://en.wikipedia.org/wiki/Chromatin_bridge
DIS000054	Shark Island (Cronulla Beach)	http://en.wikipedia.org/wiki/Shark_Island_(Cronulla_Beach)
DIS000055	Warm front	http://en.wikipedia.org/wiki/Warm_front
DIS000056	High energy density physics	http://en.wikipedia.org/wiki/High_energy_density_physics
DIS000057	Cryptomenorrhea	http://en.wikipedia.org/wiki/Cryptomenorrhea
DIS000058	Hydraulic jump	http://en.wikipedia.org/wiki/Hydraulic_jump
DIS000059	Lluvia de Peces	http://en.wikipedia.org/wiki/Lluvia_de_Peces
DIS000060	Observational error	http://en.wikipedia.org/wiki/Observational_error
DIS000061	Caesarean delivery on maternal request	http://en.wikipedia.org/wiki/Caesarean_delivery_on_maternal_request
DIS000062	Grass tetany	http://en.wikipedia.org/wiki/Grass_tetany
DIS000063	Reception of Islam in Early Modern Europe	http://en.wikipedia.org/wiki/Reception_of_Islam_in_Early_Modern_Europe
DIS000064	Condensation reaction	http://en.wikipedia.org/wiki/Condensation_reaction
DIS000065	Diffuse alveolar damage	http://en.wikipedia.org/wiki/Diffuse_alveolar_damage
DIS000066	Inductive logic programming	http://en.wikipedia.org/wiki/Inductive_logic_programming
DIS000067	Godspot	http://en.wikipedia.org/wiki/Godspot
DIS000068	Exponential integral	http://en.wikipedia.org/wiki/Exponential_integral
DIS000069	Ting Hai effect	http://en.wikipedia.org/wiki/Ting_Hai_effect
DIS000070	St. Elmo's fire	http://en.wikipedia.org/wiki/St._Elmo's_fire
DIS000071	Halogen acne	http://en.wikipedia.org/wiki/Halogen_acne
DIS000072	Cavernous hemangioma	http://en.wikipedia.org/wiki/Cavernous_hemangioma
DIS000073	List of hematologic conditions	http://en.wikipedia.org/wiki/List_of_hematologic_conditions
DIS000074	Spraing	http://en.wikipedia.org/wiki/Spraing
DIS000075	Mickaël Vendetta	http://en.wikipedia.org/wiki/Mickaël_Vendetta
DIS000076	Necrospermia	http://en.wikipedia.org/wiki/Necrospermia
DIS000077	Free-running sleep	http://en.wikipedia.org/wiki/Free-running_sleep
DIS000078	Nearest neighbor search	http://en.wikipedia.org/wiki/Nearest_neighbor_search
DIS000079	Vote splitting	http://en.wikipedia.org/wiki/Vote_splitting
DIS000080	Mautam	http://en.wikipedia.org/wiki/Mautam
DIS000081	White superficial onychomycosis	http://en.wikipedia.org/wiki/White_superficial_onychomycosis
DIS000082	Administrative resource	http://en.wikipedia.org/wiki/Administrative_resource
DIS000083	Knee pain	http://en.wikipedia.org/wiki/Knee_pain
DIS000084	Posterior circulation infarct	http://en.wikipedia.org/wiki/Posterior_circulation_infarct
DIS000085	Code of silence	http://en.wikipedia.org/wiki/Code_of_silence
DIS000086	Bluetongue disease	http://en.wikipedia.org/wiki/Bluetongue_disease
DIS000087	Oranjegekte	http://en.wikipedia.org/wiki/Oranjegekte
DIS000088	Manhole cover theft	http://en.wikipedia.org/wiki/Manhole_cover_theft
DIS000089	Duck plague	http://en.wikipedia.org/wiki/Duck_plague
DIS000090	Legendre symbol	http://en.wikipedia.org/wiki/Legendre_symbol
DIS000091	Neber rearrangement	http://en.wikipedia.org/wiki/Neber_rearrangement
DIS000092	Radial scar	http://en.wikipedia.org/wiki/Radial_scar
DIS000093	Social proof	http://en.wikipedia.org/wiki/Social_proof
DIS000094	Tunnel injection	http://en.wikipedia.org/wiki/Tunnel_injection
DIS000095	Asymmetric hydrogenation	http://en.wikipedia.org/wiki/Asymmetric_hydrogenation
DIS000096	Dentin hypersensitivity	http://en.wikipedia.org/wiki/Dentin_hypersensitivity
DIS000097	Postdrome	http://en.wikipedia.org/wiki/Postdrome
DIS000098	Focal hyperhidrosis	http://en.wikipedia.org/wiki/Focal_hyperhidrosis
DIS000099	Ink spot lentigo	http://en.wikipedia.org/wiki/Ink_spot_lentigo
DIS000100	Effusive eruption	http://en.wikipedia.org/wiki/Effusive_eruption
DIS000101	Fire prevention	http://en.wikipedia.org/wiki/Fire_prevention
DIS000102	Frame slip	http://en.wikipedia.org/wiki/Frame_slip
DIS000103	Neurosis	http://en.wikipedia.org/wiki/Neurosis
DIS000104	Scrypt	http://en.wikipedia.org/wiki/Scrypt
DIS000105	Pathophysiology of multiple sclerosis	http://en.wikipedia.org/wiki/Pathophysiology_of_multiple_sclerosis
DIS000106	Tibial plateau fracture	http://en.wikipedia.org/wiki/Tibial_plateau_fracture
DIS000107	Photosensitivity	http://en.wikipedia.org/wiki/Photosensitivity
DIS000108	Autoimmune progesterone dermatitis	http://en.wikipedia.org/wiki/Autoimmune_progesterone_dermatitis
DIS000109	Privacy	http://en.wikipedia.org/wiki/Privacy
DIS000110	Apraxia of speech	http://en.wikipedia.org/wiki/Apraxia_of_speech
DIS000111	Ringbone	http://en.wikipedia.org/wiki/Ringbone
DIS000112	Hypertrophic osteodystrophy	http://en.wikipedia.org/wiki/Hypertrophic_osteodystrophy
DIS000113	Ending inventory	http://en.wikipedia.org/wiki/Ending_inventory
DIS000114	Syncope (phonology)	http://en.wikipedia.org/wiki/Syncope_(phonology)
DIS000115	Death spiral (insurance)	http://en.wikipedia.org/wiki/Death_spiral_(insurance)
DIS000116	Antianalgesia	http://en.wikipedia.org/wiki/Antianalgesia
DIS000117	Tyranny of small decisions	http://en.wikipedia.org/wiki/Tyranny_of_small_decisions
DIS000118	Jeep problem	http://en.wikipedia.org/wiki/Jeep_problem
DIS000119	Overpotential	http://en.wikipedia.org/wiki/Overpotential
DIS000120	Gabriel synthesis	http://en.wikipedia.org/wiki/Gabriel_synthesis
DIS000121	Lazy inheritance	http://en.wikipedia.org/wiki/Lazy_inheritance
DIS000122	Extreme careerism	http://en.wikipedia.org/wiki/Extreme_careerism
DIS000123	Racial segregation	http://en.wikipedia.org/wiki/Racial_segregation
DIS000124	Mislow–Evans rearrangement	http://en.wikipedia.org/wiki/Mislow–Evans_rearrangement
DIS000125	Disease model of addiction	http://en.wikipedia.org/wiki/Disease_model_of_addiction
DIS000126	Serial verb construction	http://en.wikipedia.org/wiki/Serial_verb_construction
DIS000127	Tetrahedron packing	http://en.wikipedia.org/wiki/Tetrahedron_packing
DIS000128	Subclinical seizure	http://en.wikipedia.org/wiki/Subclinical_seizure
DIS000129	Finching (cattle)	http://en.wikipedia.org/wiki/Finching_(cattle)
DIS000130	Linkage principle	http://en.wikipedia.org/wiki/Linkage_principle
DIS000131	Peripheral odontogenic fibroma	http://en.wikipedia.org/wiki/Peripheral_odontogenic_fibroma
DIS000132	Ultrasonic hearing	http://en.wikipedia.org/wiki/Ultrasonic_hearing
DIS000133	Frank–Caro process	http://en.wikipedia.org/wiki/Frank–Caro_process
DIS000134	Cherry eye	http://en.wikipedia.org/wiki/Cherry_eye
DIS000135	Liver disease	http://en.wikipedia.org/wiki/Liver_disease
DIS000136	Aging-associated diseases	http://en.wikipedia.org/wiki/Aging-associated_diseases
DIS000137	Ahmed Mohamed clock incident	http://en.wikipedia.org/wiki/Ahmed_Mohamed_clock_incident
DIS000138	Heredofamilial amyloidosis	http://en.wikipedia.org/wiki/Heredofamilial_amyloidosis
DIS000139	Bimalleolar fracture	http://en.wikipedia.org/wiki/Bimalleolar_fracture
DIS000140	Hyperestrogenism	http://en.wikipedia.org/wiki/Hyperestrogenism
DIS000141	Otophyma	http://en.wikipedia.org/wiki/Otophyma
DIS000142	Energy density	http://en.wikipedia.org/wiki/Energy_density
DIS000143	Dyssemia	http://en.wikipedia.org/wiki/Dyssemia
DIS000144	Smallest-circle problem	http://en.wikipedia.org/wiki/Smallest-circle_problem
DIS000145	Primary cutaneous aspergillosis	http://en.wikipedia.org/wiki/Primary_cutaneous_aspergillosis
DIS000146	Groupthink	http://en.wikipedia.org/wiki/Groupthink
DIS000147	British debate over veils	http://en.wikipedia.org/wiki/British_debate_over_veils
DIS000148	Primary cutaneous immunocytoma	http://en.wikipedia.org/wiki/Primary_cutaneous_immunocytoma
DIS000149	Eifeler Regel	http://en.wikipedia.org/wiki/Eifeler_Regel
DIS000150	Competence (human resources)	http://en.wikipedia.org/wiki/Competence_(human_resources)
DIS000151	Flynn effect	http://en.wikipedia.org/wiki/Flynn_effect
DIS000152	Bodybuilding supplement	http://en.wikipedia.org/wiki/Bodybuilding_supplement
DIS000153	Type 99 (camouflage)	http://en.wikipedia.org/wiki/Type_99_(camouflage)
DIS000154	Overman rearrangement	http://en.wikipedia.org/wiki/Overman_rearrangement
DIS000155	Practical effect	http://en.wikipedia.org/wiki/Practical_effect
DIS000156	Norm (mathematics)	http://en.wikipedia.org/wiki/Norm_(mathematics)
DIS000157	Interstitial granulomatous drug reaction	http://en.wikipedia.org/wiki/Interstitial_granulomatous_drug_reaction
DIS000158	Spectrum	http://en.wikipedia.org/wiki/Spectrum
DIS000159	Symmetry breaking	http://en.wikipedia.org/wiki/Symmetry_breaking
DIS000160	Muscle weakness	http://en.wikipedia.org/wiki/Muscle_weakness
DIS000161	Quittor	http://en.wikipedia.org/wiki/Quittor
DIS000162	Von Braun reaction	http://en.wikipedia.org/wiki/Von_Braun_reaction
DIS000163	Dysfunctional epiglottis	http://en.wikipedia.org/wiki/Dysfunctional_epiglottis
DIS000164	Tobiano	http://en.wikipedia.org/wiki/Tobiano
DIS000165	Confabulation	http://en.wikipedia.org/wiki/Confabulation
DIS000166	Erdős–Burr conjecture	http://en.wikipedia.org/wiki/Erdős–Burr_conjecture
DIS000167	Evolutionary computation	http://en.wikipedia.org/wiki/Evolutionary_computation
DIS000168	Calibrated orifice	http://en.wikipedia.org/wiki/Calibrated_orifice
DIS000169	Automated theorem proving	http://en.wikipedia.org/wiki/Automated_theorem_proving
DIS000170	Puddle	http://en.wikipedia.org/wiki/Puddle
DIS000171	Meta learning (computer science)	http://en.wikipedia.org/wiki/Meta_learning_(computer_science)
DIS000172	Island reversal	http://en.wikipedia.org/wiki/Island_reversal
DIS000173	Neural backpropagation	http://en.wikipedia.org/wiki/Neural_backpropagation
DIS000174	Split-pi topology	http://en.wikipedia.org/wiki/Split-pi_topology
DIS000175	Range criterion	http://en.wikipedia.org/wiki/Range_criterion
DIS000176	Leiner's disease	http://en.wikipedia.org/wiki/Leiner's_disease
DIS000177	Yottabyte	http://en.wikipedia.org/wiki/Yottabyte
DIS000178	Magnetic field	http://en.wikipedia.org/wiki/Magnetic_field
DIS000179	Corruption in Armenia	http://en.wikipedia.org/wiki/Corruption_in_Armenia
DIS000180	Monkey and banana problem	http://en.wikipedia.org/wiki/Monkey_and_banana_problem
DIS000181	Osmol gap	http://en.wikipedia.org/wiki/Osmol_gap
DIS000182	Staphylococcal enteritis	http://en.wikipedia.org/wiki/Staphylococcal_enteritis
DIS000183	Black heel and palm	http://en.wikipedia.org/wiki/Black_heel_and_palm
DIS000184	Markman hearing	http://en.wikipedia.org/wiki/Markman_hearing
DIS000185	Stopping power	http://en.wikipedia.org/wiki/Stopping_power
DIS000186	Anelli	http://en.wikipedia.org/wiki/Anelli
DIS000187	Garre's sclerosing osteomyelitis	http://en.wikipedia.org/wiki/Garre's_sclerosing_osteomyelitis
DIS000188	Environmental dependency syndrome	http://en.wikipedia.org/wiki/Environmental_dependency_syndrome
DIS000189	Urban plague	http://en.wikipedia.org/wiki/Urban_plague
DIS000190	Hereditary breast–ovarian cancer syndrome	http://en.wikipedia.org/wiki/Hereditary_breast–ovarian_cancer_syndrome
DIS000191	Master Nationality Rule	http://en.wikipedia.org/wiki/Master_Nationality_Rule
DIS000192	Vaccine-preventable diseases	http://en.wikipedia.org/wiki/Vaccine-preventable_diseases
DIS000193	Broadcast encryption	http://en.wikipedia.org/wiki/Broadcast_encryption
