disease_id	name
DIS000004	Otic polyp
DIS000005	Abdominal pain
DIS000007	Alcohol-related brain damage
DIS000020	Nausea
DIS000025	Extinction event
DIS010273	Metastatic calcification
DIS000483	Hammer toe
DIS000495	Acute flaccid myelitis
DIS000487	Vocal loading
DIS000484	Ovarian apoplexy
DIS010298	Ufufunyane
DIS000999	Loin pain hematuria syndrome
DIS003470	Neoplasm
DIS003502	Amelia (birth defect)
DIS003500	Trichothiodystrophy
DIS003498	Sacroiliitis
DIS003491	Osgood–Schlatter disease
DIS003485	Bulbar palsy
DIS003484	Bronchiectasis
DIS003483	Geotrichosis
DIS003481	Ideomotor apraxia
DIS002713	Pneumaturia
DIS002696	Nonbacterial thrombotic endocarditis
DIS002695	Periodic fever, aphthous stomatitis, pharyngitis and adenitis
DIS002693	Atypical ductal hyperplasia
DIS002692	Wet-tail
DIS001000	Biliary reflux
DIS003471	Dirofilariasis
DIS003499	Thyroid adenoma
DIS003492	Aase syndrome
DIS003486	Brain tumor
DIS002722	Beta-mannosidosis
DIS002701	Calculus (medicine)
DIS002694	Megaesophagus
DIS001001	Hemoperitoneum
DIS003472	Psoriatic onychodystrophy
DIS003495	Cutis marmorata telangiectatica congenita
DIS003487	Preterm birth
DIS002731	Xerotic eczema
DIS003473	Canavan disease
DIS003488	Lichen planus
DIS002710	Vernal keratoconjunctivitis
DIS003474	Coarctation of the aorta
DIS003506	Acrophobia
DIS003497	Pilonidal disease
DIS002735	Endolymphatic hydrops
DIS001004	Hemifacial spasm
DIS003475	Hypertonia
DIS002740	Tympanites
DIS001005	Steroid rosacea
DIS003476	Otomycosis
DIS003508	Insomnia
DIS003477	Erythema nodosum
DIS003205	Social anxiety disorder
DIS002744	Endometrial intraepithelial neoplasia
DIS003478	Alzheimer's disease
DIS003510	Chemotherapy-induced acral erythema
DIS002745	Retrolisthesis
DIS003479	Arthritis
DIS003511	Proctitis
DIS002746	Idiopathic scrotal calcinosis
DIS000268	Sialadenitis
DIS003480	Pectus excavatum
DIS003512	Taeniasis
DIS003514	Bardet–Biedl syndrome
DIS002753	Wrist osteoarthritis
DIS003515	Small intestinal bacterial overgrowth
