disease_id	name	code	name
DIS004692	17q21.31 microdeletion syndrome	17q21.31 microdeletion syndrome	GeneReviews
DIS007340	17β-Hydroxysteroid dehydrogenase III deficiency	264300	OMIM
DIS005265	18p-	146390	OMIM
DIS003113	1p36 deletion syndrome	34535	DiseasesDB
DIS007075	1q21.1 deletion syndrome	1q211-microdeletion	MedlinePlus
DIS006629	1q21.1 duplication syndrome	612475	OMIM
DIS005644	2-Hydroxyglutaric aciduria	236792	OMIM
DIS006081	2-Methylbutyryl-CoA dehydrogenase deficiency	34413	DiseasesDB
DIS004385	22q11.2 distal deletion syndrome	611867	OMIM
DIS004041	22q11.2 duplication syndrome	608363	OMIM
DIS005020	22q13 deletion syndrome	34793	DiseasesDB
DIS006690	2q37 monosomy	600430	OMIM
DIS006585	3-M syndrome	273750	OMIM
DIS005565	3C syndrome	220210	OMIM
DIS004724	3q29 microdeletion syndrome	609425	OMIM
DIS004713	45,X/46,XY mosaicism	1772	Orphanet
DIS006986	49,XXXXY	32552	DiseasesDB
DIS004363	5α-Reductase deficiency	11	DiseasesDB
DIS003887	6-phosphogluconate dehydrogenase deficiency	172200	OMIM
DIS000301	6-Pyruvoyltetrahydropterin synthase deficiency	13	Orphanet
DIS001257	8p23.1 duplication syndrome	251076	Orphanet
DIS003249	9q34 deletion syndrome	32302	DiseasesDB
DIS005027	AA amyloidosis	16	DiseasesDB
DIS007522	Aarskog–Scott syndrome	001654	MedlinePlus
DIS003492	Aase syndrome	001662	MedlinePlus
DIS006275	ABCD syndrome	33683	DiseasesDB
DIS005362	Abdallat–Davis–Farrage syndrome	270750	OMIM
DIS003879	Abdominal aortic aneurysm	000162	MedlinePlus
DIS003467	Abdominal compartment syndrome	729.73	ICD-9-CM
DIS003388	Abdominal epilepsy	345.5	ICD-9-CM
DIS007220	Abdominal mass	003274	MedlinePlus
DIS004126	Abdominal obesity	278	ICD-9-CM
DIS000005	Abdominal pain	003120	MedlinePlus
DIS005477	Abdominal trauma	868	ICD-9-CM
DIS003246	Abdominal wall defect	756.7	ICD-9-CM
DIS005246	Aberrant subclavian artery	747.21	ICD-9-CM
DIS003347	Abetalipoproteinemia	001666	MedlinePlus
DIS004529	Abnormal posturing	003189	MedlinePlus
DIS010279	Abnormal uterine bleeding	000903	MedlinePlus
DIS004241	Abscess	001353	MedlinePlus
DIS006143	Absence seizure	000696	MedlinePlus
DIS006284	Abusive head trauma	007578	MedlinePlus
DIS001498	Acalculia	784.69	ICD-9-CM
