disease_id	name	url	code_id	name
DIS000004	Otic polyp	http://en.wikipedia.org/wiki/Otic_polyp	1638	MedlinePlus
DIS000005	Abdominal pain	http://en.wikipedia.org/wiki/Abdominal_pain	3120	MedlinePlus
DIS000005	Abdominal pain	http://en.wikipedia.org/wiki/Abdominal_pain	789.0	IDC-9
DIS000005	Abdominal pain	http://en.wikipedia.org/wiki/Abdominal_pain	D015746	MeSH
DIS000005	Abdominal pain	http://en.wikipedia.org/wiki/Abdominal_pain	R10	IDC-10
DIS000005	Abdominal pain	http://en.wikipedia.org/wiki/Abdominal_pain	R10.	IDC-10
DIS000020	Nausea	http://en.wikipedia.org/wiki/Nausea	3117	MedlinePlus
DIS000020	Nausea	http://en.wikipedia.org/wiki/Nausea	787.03	IDC-9
DIS000020	Nausea	http://en.wikipedia.org/wiki/Nausea	D009325	MeSH
DIS000020	Nausea	http://en.wikipedia.org/wiki/Nausea	R11.0	IDC-10
DIS000035	Psychogenic pain	http://en.wikipedia.org/wiki/Psychogenic_pain	307.8	IDC-9
DIS000035	Psychogenic pain	http://en.wikipedia.org/wiki/Psychogenic_pain	922	MedlinePlus
DIS000035	Psychogenic pain	http://en.wikipedia.org/wiki/Psychogenic_pain	F45.4	IDC-10
DIS000057	Cryptomenorrhea	http://en.wikipedia.org/wiki/Cryptomenorrhea	32217	DiseasesDB
DIS000083	Knee pain	http://en.wikipedia.org/wiki/Knee_pain	3187	MedlinePlus
DIS000096	Dentin hypersensitivity	http://en.wikipedia.org/wiki/Dentin_hypersensitivity	D003807	MeSH
DIS000096	Dentin hypersensitivity	http://en.wikipedia.org/wiki/Dentin_hypersensitivity	K03.8	IDC-10
DIS000103	Neurosis	http://en.wikipedia.org/wiki/Neurosis	F40-F40.8	IDC-10
DIS000103	Neurosis	http://en.wikipedia.org/wiki/Neurosis	F40.	IDC-10
DIS000103	Neurosis	http://en.wikipedia.org/wiki/Neurosis	F40.8.	IDC-10
DIS000106	Tibial plateau fracture	http://en.wikipedia.org/wiki/Tibial_plateau_fracture	S82.1	IDC-10
DIS000108	Autoimmune progesterone dermatitis	http://en.wikipedia.org/wiki/Autoimmune_progesterone_dermatitis	712365	eMedicine
DIS000135	Liver disease	http://en.wikipedia.org/wiki/Liver_disease	205	MedlinePlus
DIS000139	Bimalleolar fracture	http://en.wikipedia.org/wiki/Bimalleolar_fracture	S82.8	IDC-10
DIS000160	Muscle weakness	http://en.wikipedia.org/wiki/Muscle_weakness	(	IDC-9
DIS000160	Muscle weakness	http://en.wikipedia.org/wiki/Muscle_weakness	728.87	IDC-9
DIS000160	Muscle weakness	http://en.wikipedia.org/wiki/Muscle_weakness	728.9	IDC-9
DIS000160	Muscle weakness	http://en.wikipedia.org/wiki/Muscle_weakness	before 10/01/03)	IDC-9
DIS000160	Muscle weakness	http://en.wikipedia.org/wiki/Muscle_weakness	D018908	MeSH
DIS000160	Muscle weakness	http://en.wikipedia.org/wiki/Muscle_weakness	M62.8	IDC-10
DIS000190	Hereditary breast–ovarian cancer syndrome	http://en.wikipedia.org/wiki/Hereditary_breast–ovarian_cancer_syndrome	604370	OMIM
DIS000190	Hereditary breast–ovarian cancer syndrome	http://en.wikipedia.org/wiki/Hereditary_breast–ovarian_cancer_syndrome	C50  C56	IDC-10
DIS000206	Glassy cell carcinoma of the cervix	http://en.wikipedia.org/wiki/Glassy_cell_carcinoma_of_the_cervix	C53.0  C53.1  C53.8	IDC-10
DIS000232	Larsen syndrome	http://en.wikipedia.org/wiki/Larsen_syndrome	150250	OMIM
DIS000233	Solar purpura	http://en.wikipedia.org/wiki/Solar_purpura	1087008	eMedicine
DIS000247	Desmoplastic melanoma	http://en.wikipedia.org/wiki/Desmoplastic_melanoma	C43.9	IDC-10
DIS000262	Platyspondylic lethal skeletal dysplasia, Torrance type	http://en.wikipedia.org/wiki/Platyspondylic_lethal_skeletal_dysplasia,_Torrance_type	151210	OMIM
DIS000262	Platyspondylic lethal skeletal dysplasia, Torrance type	http://en.wikipedia.org/wiki/Platyspondylic_lethal_skeletal_dysplasia,_Torrance_type	Q77.8	IDC-10
DIS000276	Localized lipodystrophy	http://en.wikipedia.org/wiki/Localized_lipodystrophy	123125	eMedicine
DIS000301	6-Pyruvoyltetrahydropterin synthase deficiency	http://en.wikipedia.org/wiki/6-Pyruvoyltetrahydropterin_synthase_deficiency	261640	OMIM
DIS000301	6-Pyruvoyltetrahydropterin synthase deficiency	http://en.wikipedia.org/wiki/6-Pyruvoyltetrahydropterin_synthase_deficiency	E70.1	IDC-10
DIS000310	Spondylo-meta-epiphyseal dysplasia	http://en.wikipedia.org/wiki/Spondylo-meta-epiphyseal_dysplasia	271665	OMIM
DIS000310	Spondylo-meta-epiphyseal dysplasia	http://en.wikipedia.org/wiki/Spondylo-meta-epiphyseal_dysplasia	Q77.7	IDC-10
DIS000318	Xerophthalmia	http://en.wikipedia.org/wiki/Xerophthalmia	426	MedlinePlus
DIS000344	Heartburn	http://en.wikipedia.org/wiki/Heartburn	3114	MedlinePlus
DIS000344	Heartburn	http://en.wikipedia.org/wiki/Heartburn	787.1	IDC-9
DIS000344	Heartburn	http://en.wikipedia.org/wiki/Heartburn	D006356	MeSH
DIS000344	Heartburn	http://en.wikipedia.org/wiki/Heartburn	R12	IDC-10
DIS000345	Anasarca	http://en.wikipedia.org/wiki/Anasarca	3103	MedlinePlus
DIS000345	Anasarca	http://en.wikipedia.org/wiki/Anasarca	782.3	IDC-9
DIS000345	Anasarca	http://en.wikipedia.org/wiki/Anasarca	D004487	MeSH
DIS000345	Anasarca	http://en.wikipedia.org/wiki/Anasarca	R60.1	IDC-10
DIS000384	Weakness	http://en.wikipedia.org/wiki/Weakness	(	IDC-9
DIS000384	Weakness	http://en.wikipedia.org/wiki/Weakness	3174	MedlinePlus
DIS000384	Weakness	http://en.wikipedia.org/wiki/Weakness	728.87	IDC-9
DIS000384	Weakness	http://en.wikipedia.org/wiki/Weakness	728.9	IDC-9
DIS000384	Weakness	http://en.wikipedia.org/wiki/Weakness	780.79	IDC-9
DIS000384	Weakness	http://en.wikipedia.org/wiki/Weakness	before 10/01/03); alternatively,	IDC-9
DIS000384	Weakness	http://en.wikipedia.org/wiki/Weakness	D018908	MeSH
DIS000384	Weakness	http://en.wikipedia.org/wiki/Weakness	R53.	IDC-10
DIS000392	Urinary tract obstruction	http://en.wikipedia.org/wiki/Urinary_tract_obstruction	438890	eMedicine
DIS000422	Painful bruising syndrome	http://en.wikipedia.org/wiki/Painful_bruising_syndrome	D69.2	IDC-10
DIS000423	Anorectal varices	http://en.wikipedia.org/wiki/Anorectal_varices	I86.8	IDC-10
DIS000433	Edema	http://en.wikipedia.org/wiki/Edema	3103	MedlinePlus
DIS000439	SAPHO syndrome	http://en.wikipedia.org/wiki/SAPHO_syndrome	M86.3	IDC-10
DIS000475	Anterograde amnesia	http://en.wikipedia.org/wiki/Anterograde_amnesia	780.93	IDC-9
DIS000475	Anterograde amnesia	http://en.wikipedia.org/wiki/Anterograde_amnesia	R41.1	IDC-10
DIS000476	Cryoglobulinemic vasculitis	http://en.wikipedia.org/wiki/Cryoglobulinemic_vasculitis	123550	OMIM
DIS000476	Cryoglobulinemic vasculitis	http://en.wikipedia.org/wiki/Cryoglobulinemic_vasculitis	D89.1	IDC-10
DIS000483	Hammer toe	http://en.wikipedia.org/wiki/Hammer_toe	1235	MedlinePlus
DIS000483	Hammer toe	http://en.wikipedia.org/wiki/Hammer_toe	735.4	IDC-9
DIS000483	Hammer toe	http://en.wikipedia.org/wiki/Hammer_toe	755.66	IDC-9
DIS000483	Hammer toe	http://en.wikipedia.org/wiki/Hammer_toe	D037801	MeSH
DIS000483	Hammer toe	http://en.wikipedia.org/wiki/Hammer_toe	M20.4	IDC-10
DIS000483	Hammer toe	http://en.wikipedia.org/wiki/Hammer_toe	M20.4,Q66.8	IDC-10
DIS000483	Hammer toe	http://en.wikipedia.org/wiki/Hammer_toe	Q66.8	IDC-10
DIS000491	Congenital fibrosis of the extraocular muscles	http://en.wikipedia.org/wiki/Congenital_fibrosis_of_the_extraocular_muscles	135700	OMIM
DIS000491	Congenital fibrosis of the extraocular muscles	http://en.wikipedia.org/wiki/Congenital_fibrosis_of_the_extraocular_muscles	H49.8	IDC-10
DIS000494	Electrical alternans	http://en.wikipedia.org/wiki/Electrical_alternans	154706	eMedicine
DIS000496	Megaduodenum	http://en.wikipedia.org/wiki/Megaduodenum	155310	OMIM
DIS000496	Megaduodenum	http://en.wikipedia.org/wiki/Megaduodenum	K56.0	IDC-10
DIS000511	Cryptotia	http://en.wikipedia.org/wiki/Cryptotia	123557	OMIM
DIS000541	Galeazzi fracture	http://en.wikipedia.org/wiki/Galeazzi_fracture	68011885	MeSH
DIS000541	Galeazzi fracture	http://en.wikipedia.org/wiki/Galeazzi_fracture	S52.3	IDC-10
DIS000547	Metastasis	http://en.wikipedia.org/wiki/Metastasis	2260	MedlinePlus
DIS000547	Metastasis	http://en.wikipedia.org/wiki/Metastasis	28954	DiseasesDB
