disease_id	name
DIS000011	Citrus black spot
DIS000013	Mach tuck
DIS000014	Citrus greening disease
DIS000023	Salmon poisoning disease
DIS000047	Canine degenerative myelopathy
DIS000070	St. Elmo's fire
DIS000181	Osmol gap
DIS000356	Contagious caprine pleuropneumonia
DIS000372	Equine infectious anemia
DIS000379	Collie eye anomaly
DIS000398	Hemorrhagic gastroenteritis
DIS000441	Epizootic lymphangitis
DIS000465	Proventricular dilatation disease
DIS000510	Mutation
DIS000512	Junctional epidermolysis bullosa (veterinary medicine)
DIS000567	Gravity anomaly
DIS000602	Newcastle disease
DIS000627	Ehrlichiosis (canine)
DIS000671	Southern corn leaf blight
DIS000747	Black gill disease
DIS000761	Sudden acquired retinal degeneration (disease)
DIS000767	Coral bleaching
DIS000805	Canine epileptoid cramping syndrome
DIS000811	Caustic embrittlement
DIS000853	Gastric dilatation volvulus
DIS000991	Medical error
DIS001053	Explosion
DIS001115	Disease in ornamental fish
DIS001122	Sticky-shed syndrome
DIS001174	Bovine viral diarrhea
DIS001335	Penicillium expansum
DIS001356	Juvenile cellulitis
DIS001376	Mammary tumor
DIS001434	Jobless recovery
DIS001438	Equine viral arteritis
DIS001467	Canine distemper
DIS001543	Generation effect
DIS001594	Brown patch
DIS001626	Otitis externa in animals
DIS001688	Flea allergy dermatitis
DIS001701	Broadcast radiation
DIS001709	Samoyed hereditary glomerulopathy
DIS001733	Equine influenza
DIS001815	Impaction (animals)
DIS001817	Surra
DIS001825	Equine shivers
DIS001851	United States military veteran suicide
DIS001854	Head and lateral line erosion
DIS001933	Mare reproductive loss syndrome
DIS001977	Subprime mortgage crisis
DIS002064	Phomopsis blight of juniper
DIS002084	Lymphoid leucosis
DIS002194	Infectious bovine keratoconjunctivitis
DIS002283	User error
DIS002325	Bovine malignant catarrhal fever
DIS002408	Equine protozoal myeloencephalitis
DIS002422	Binucleated cells
DIS002541	Over illumination
DIS002752	Elm yellows
DIS002781	Corneal ulcers in animals
DIS002886	Beet vascular necrosis
DIS002892	Sexual orientation
DIS002986	Canine leishmaniasis
DIS003170	Traffic collision
DIS003981	Luxating patella
DIS004068	Asteroid hyalosis
DIS004237	Zoonosis
DIS005837	Distichia
DIS006787	2009 flu pandemic
DIS007025	GRIK4
DIS007316	Dog bite
DIS008171	Feline asthma
DIS008199	Equine polysaccharide storage myopathy
DIS008240	Histiocytoma (dog)
DIS008260	Equine recurrent uveitis
DIS008277	Fish acute toxicity syndrome
DIS008289	Boron deficiency (plant disorder)
DIS008321	Calcium deficiency (plant disorder)
DIS008325	Animal trypanosomiasis
DIS008327	Equine exertional rhabdomyolysis
DIS008342	Iron deficiency (plant disorder)
DIS008352	Northeast blackout of 1965
DIS008354	Manganese deficiency (plant)
DIS008367	Potomac Horse Fever
DIS008372	Choke (horse)
DIS008374	Fusarium ear blight
DIS008379	Bovine spongiform encephalopathy
DIS008396	Elbow dysplasia
DIS008987	Venezuelan equine encephalitis
DIS009010	Wobbly hedgehog syndrome
DIS009012	Sudden acquired retinal degeneration syndrome
DIS009017	Pyotraumatic dermatitis
DIS009018	Potomac horse fever
DIS010303	Necrotizing meningoencephalitis
DIS010344	Lick granuloma
DIS010388	2011 Germany E. coli O104:H4 outbreak
DIS010620	Hypoadrenocorticism in dogs
DIS010732	Saudi Arabia and weapons of mass destruction
DIS010737	Rabies in Haiti
DIS010785	Little League elbow
