disease_id	name	cui	DKE
DIS004692	17q21.31 microdeletion syndrome	C0003635	Apraxia, NOS
DIS007340	17β-Hydroxysteroid dehydrogenase III deficiency	C0010417	Cryptorchidism
DIS005265	18p-	C0002627	Amniocentesis
DIS003113	1p36 deletion syndrome	C0023185	Learning
DIS007075	1q21.1 deletion syndrome	C0014544	Epilepsy
DIS006629	1q21.1 duplication syndrome	C0003578	Apnea
DIS005644	2-Hydroxyglutaric aciduria	C0014544	Epilepsy
DIS006081	2-Methylbutyryl-CoA dehydrogenase deficiency	C0042014	Urinalysis
DIS004385	22q11.2 distal deletion syndrome	C0003467	Anxiety
DIS004041	22q11.2 duplication syndrome	C0025362	Mental retardation NOS
DIS005020	22q13 deletion syndrome	C0221355	Macrocephaly
DIS006690	2q37 monosomy	C0025362	Mental retardation NOS
DIS006585	3-M syndrome	C0024032	Low birth weight
DIS005565	3C syndrome	C0007758	Cerebellar ataxia NOS
DIS004724	3q29 microdeletion syndrome	C0004134	Ataxia
DIS004713	45,X/46,XY mosaicism	C0034012	Delayed puberty NOS
DIS006986	49,XXXXY	C0021359	Infertility
DIS004363	5α-Reductase deficiency	C0156394	Hypertrophy of clitoris
DIS003887	6-phosphogluconate dehydrogenase deficiency	C0162429	Malnutrition
DIS000301	6-Pyruvoyltetrahydropterin synthase deficiency	C0162429	Malnutrition
DIS001257	8p23.1 duplication syndrome	C0025362	Mental retardation NOS
DIS003249	9q34 deletion syndrome	C0027651	Neoplasms
DIS005027	AA amyloidosis	C0027726	Nephrotic syndrome NOS
DIS007522	Aarskog–Scott syndrome	C0010417	Cryptorchidism
DIS003492	Aase syndrome	C0002871	Anemia
DIS006275	ABCD syndrome	C0041618	Ultrasonography
DIS005362	Abdallat–Davis–Farrage syndrome	C0001916	Albinism
DIS003879	Abdominal aortic aneurysm	C0003860	Arteritis
DIS003467	Abdominal compartment syndrome	C0020538	Hypertensive disease
DIS003388	Abdominal epilepsy	C0014544	Epilepsy
DIS007220	Abdominal mass	C0000833	Abscess
DIS004126	Abdominal obesity	C0020580	Hypesthesia
DIS000005	Abdominal pain	C0000737	Abdominal pain
DIS005477	Abdominal trauma	C0036572	Convulsions
DIS003246	Abdominal wall defect	C0002627	Amniocentesis
DIS005246	Aberrant subclavian artery	C0008031	Chest pain NOS
DIS003347	Abetalipoproteinemia	C0015663	Fasting
DIS004529	Abnormal posturing	C0038454	Cerebrovascular accident
DIS010279	Abnormal uterine bleeding	C0005779	Blood coagulation disorder
DIS004241	Abscess	C0000833	Abscess
DIS006143	Absence seizure	C0013819	Electroencephalography
DIS006284	Abusive head trauma	C0006111	Disease of brain
DIS001498	Acalculia	C0869474	Dyscalculia
DIS006760	Acanthamoeba keratitis	C0022568	Keratitis
DIS005435	Acanthocheilonemiasis	C0023508	White blood cell count
DIS006818	Acanthoma	C0027651	Neoplasms
DIS003340	Acanthosis nigricans	C0011849	Diabetes mellitus, NOS
DIS006369	Acariasis	C0015230	Exanthema
DIS006447	Acatalasia	C0017086	Gangrene
DIS005577	Accelerated phase chronic myelogenous leukemia	C0038999	Swelling
DIS006384	Accessory auricle	C0028259	Nodule
DIS005897	Accessory nerve disorder	C0005558	Biopsy
DIS004137	Aceruloplasminemia	C0018941	Blood test
DIS005369	Acetabular fracture	C0024485	Magnetic resonance imaging
