synonym_name	code	name
Hemangiosarcoma	D006394	MeSH
Pterygium	D011625	MeSH
metabolic disease	75934005	SNOMED CT
Metabolic Diseases	D008659	MeSH
California Encephalitis	062.5	ICD-9
Encephalitis, California	D004670	MeSH
Neuroinvasive California encephalitis virus infection	417075004	SNOMED CT
Lymphohistiocytosis, Hemophagocytic	D051359	MeSH
Hemophagocytic syndrome	C35439	NCI
Piedra	D010854	MeSH
Steroid-modified tinea infection	238435009	SNOMED CT
Kartagener Syndrome	D007619	MeSH
Idiopathic Pulmonary Fibrosis	D054990	MeSH
Cryptogenic Organizing Pneumonia	D018549	MeSH
Encephalitis, Tick-Borne	D004675	MeSH
Taiga encephalitis	063.0	ICD-9
Western European tick-borne encephalitis	16901001	SNOMED CT
Eaton-Lambert syndrome	D015624	MeSH
Lambert-Eaton Myasthenic Syndrome	D015624	MeSH
Lambert-Eaton syndrome	D015624	MeSH
cretinism	2928-6883	CSP
Congenital Hypothyroidism	D003409	MeSH
Adenomatous Polyposis Coli	D011125	MeSH
Restless Legs Syndrome	D012148	MeSH
Keratoderma, Palmoplantar, Diffuse	D015776	MeSH
Pemphigus, Benign Familial	D016506	MeSH
Multiple Endocrine Neoplasia Type 2a	D018813	MeSH
Arrhythmogenic Right Ventricular Dysplasia	D019571	MeSH
Andersen Syndrome	D050030	MeSH
Mulibrey Nanism	D050336	MeSH
Glycogen Storage Disease Type IIb	D052120	MeSH
Lipodystrophy, Familial Partial	D052496	MeSH
Multiple Sulfatase Deficiency Disease	D052517	MeSH
Refsum Disease, Infantile	D052919	MeSH
Familial Hypophosphatemic Rickets	D053098	MeSH
Leukokeratosis, Hereditary Mucosal	D053529	MeSH
Pachyonychia Congenita	D053549	MeSH
Gitelman Syndrome	D053579	MeSH
Brugada Syndrome	D053840	MeSH
Mevalonate Kinase Deficiency	D054078	MeSH
Periventricular Nodular Heterotopia	D054091	MeSH
Buruli Ulcer	D054312	MeSH
Sertoli Cell-Only Syndrome	D054331	MeSH
Wolf-Hirschhorn Syndrome	D054877	MeSH
Aspartylglucosaminuria	D054880	MeSH
Antley-Bixler Syndrome Phenotype	D054882	MeSH
Campomelic Dysplasia	D055036	MeSH
Farber Lipogranulomatosis	D055577	MeSH
Erythrokeratodermia Variabilis	D056266	MeSH
Costello Syndrome	D056685	MeSH
Donohue Syndrome	D056731	MeSH
Carney Complex	D056733	MeSH
Weill-Marchesani Syndrome	D056846	MeSH
Barth Syndrome	D056889	MeSH
Liddle Syndrome	D056929	MeSH
Exanthema	D005076	MeSH
Exanthema Subitum	D005077	MeSH
Leukemia-Lymphoma, Adult T-Cell	D015459	MeSH
Anodontia	D000848	MeSH
Katayama fever	268981007	SNOMED CT
Schistosomiasis japonica	D012554	MeSH
Schistosoma japonicum infection	C35001	NCI
adenoid cystic carcinoma of Accessory sinus	C6019	NCI
Paranasal Sinus Neoplasms	D010255	MeSH
Epidermoid carcinoma of the paranasal sinus	C8193	NCI
Mucoepidermoid carcinoma of Accessory sinus	C6018	NCI
Endocardial Cushion Defects	D004694	MeSH
Cardiomyopathies	D009202	MeSH
Pharyngeal Neoplasms	D010610	MeSH
Tobacco Use Disorder	D014029	MeSH
Myotonic Disorders	D020967	MeSH
Paraganglioma	D010235	MeSH
Multiple Sclerosis, Chronic Progressive	D020528	MeSH
Atrioventricular Block	D054537	MeSH
CHARGE Syndrome	D058747	MeSH
dystonia deformans progressiva	2057-3370	CSP
Dystonia Musculorum Deformans	D004422	MeSH
Dystonic Disorders	D020821	MeSH
Sleep Apnea Syndromes	D012891	MeSH
Medulloblastoma	D008527	MeSH
CNS PNET	C5398	NCI
CPNET	39781001	SNOMED CT
X-Linked Combined Immunodeficiency Diseases	D053632	MeSH
X-Linked Severe Combined Immunodeficiency	C4682	NCI
IgA Deficiency	D017098	MeSH
Lymphoma	D008223	MeSH
Lymphoma, T-Cell, Cutaneous	D016410	MeSH
neoplasm of soft tissue	387837005	SNOMED CT
Soft Tissue Neoplasms	D012983	MeSH
neoplasm of soft tissues	126600002	SNOMED CT
tumor of the soft tissue	C3377	NCI
Spinal Muscular Atrophies of Childhood	D014897	MeSH
Bulbo-Spinal Atrophy, X-Linked	D055534	MeSH
Myoclonic Epilepsies, Progressive	D020191	MeSH
Pseudomembranous colitis	D004761	MeSH
Enterocolitis, Pseudomembranous	D004761	MeSH
Ileitis	D007079	MeSH
Diffuse Cerebral Sclerosis of Schilder	D002549	MeSH
Cogan's syndrome	H16.32	ICD-10
Cogan Syndrome	D055952	MeSH
diffuse interstitual keratitis	H16.32	ICD-10
Atrial Fibrillation	D001281	MeSH
Stuttering	D013342	MeSH
