SOURCE	CURRENT_SN	PREVIOUS_SN	PREVIOUS_SN_FRM	PREVIOUS_COUNT	CURRENT_SN_FRM	CURRENT_COUNT	ADD_COUNT	DELETE_COUNT	REAL_ADD	OVER_COUNT	OVER_PER	VARI_COUNT	VARI_PER
wikipedia	2018-02-15	2018-02-01	2018-02-01 (3,623)	3,623	2018-02-15 (3,629)	3,629	6	0	6	3,623	99,834665197024	35	0.97
wikipedia	2018-03-01	2018-02-15	2018-02-15 (3,629)	3,629	2018-03-01 (3,634)	3,634	8	3	5	3,626	99,7798569069895	60	1.65
wikipedia	2018-03-15	2018-03-01	2018-03-01 (3,634)	3,634	2018-03-15 (3,642)	3,642	15	7	8	3,627	99,5881383855025	71	1.96
wikipedia	2018-04-01	2018-03-15	2018-03-15 (3,642)	3,642	2018-04-01 (3,838)	3,838	202	6	196	3,636	94,7368421052632	76	2.09
wikipedia	2018-04-15	2018-04-01	2018-04-01 (3,838)	3,838	2018-04-15 (3,843)	3,843	10	5	5	3,833	99,7397866250325	55	1.43
wikipedia	2018-05-01	2018-04-15	2018-04-15 (3,843)	3,843	2018-05-01 (3,857)	3,857	21	7	14	3,836	99,4555353901996	60	1.56
wikipedia	2018-05-15	2018-05-01	2018-05-01 (3,857)	3,857	2018-05-15 (3,867)	3,867	12	2	10	3,855	99,6896819239721	228	5.91
wikipedia	2018-06-01	2018-05-15	2018-05-15 (3,867)	3,867	2018-06-01 (4,043)	4,043	179	3	176	3,864	95,5725946079644	202	5.23
wikipedia	2018-06-15	2018-06-01	2018-06-01 (4,043)	4,043	2018-06-15 (4,056)	4,056	17	4	13	4,039	99,5808678500986	256	6.34
wikipedia	2018-07-01	2018-06-15	2018-06-15 (4,056)	4,056	2018-07-01 (4,058)	4,058	8	6	2	4,050	99,8028585510103	294	7.26
wikipedia	2018-07-15	2018-07-01	2018-07-01 (4,058)	4,058	2018-07-15 (4,065)	4,065	9	2	7	4,056	99,7785977859779	55	1.36
wikipedia	2018-08-01	2018-07-15	2018-07-15 (4,065)	4,065	2018-08-01 (4,079)	4,079	19	5	14	4,060	99,5341995587154	58	1.43
wikipedia	2018-08-15	2018-08-01	2018-08-01 (4,079)	4,079	2018-08-15 (4,083)	4,083	6	2	4	4,077	99,8530492285085	60	1.47
wikipedia	2018-09-01	2018-08-15	2018-08-15 (4,083)	4,083	2018-09-01 (4,086)	4,086	7	4	3	4,079	99,8286833088595	31	0.76
wikipedia	2018-09-15	2018-09-01	2018-09-01 (4,086)	4,086	2018-09-15 (4,087)	4,087	5	4	1	4,082	99,8776608759481	45	1.10
wikipedia	2018-10-01	2018-09-15	2018-09-15 (4,087)	4,087	2018-10-01 (4,089)	4,089	4	2	2	4,085	99,9021765712888	53	1.30
wikipedia	2018-10-15	2018-10-01	2018-10-01 (4,089)	4,089	2018-10-15 (4,093)	4,093	9	5	4	4,084	99,7801123870022	34	0.83
wikipedia	2018-11-01	2018-10-15	2018-10-15 (4,093)	4,093	2018-11-01 (4,097)	4,097	12	8	4	4,085	99,7071027581157	59	1.44
wikipedia	2018-11-15	2018-11-01	2018-11-01 (4,097)	4,097	2018-11-15 (4,102)	4,102	9	4	5	4,093	99,7805948317894	49	1.20
wikipedia	2018-12-01	2018-11-15	2018-11-15 (4,102)	4,102	2018-12-01 (4,107)	4,107	10	5	5	4,097	99,7565132700268	73	1.78
wikipedia	2018-12-15	2018-12-01	2018-12-01 (4,107)	4,107	2018-12-15 (4,115)	4,115	9	1	8	4,106	99,7812879708384	60	1.46
