disease_id;disease_name;1_2018-02-01;2_2018-02-15;3_2018-03-01;4_2018-03-15;5_2018-04-01;6_2018-04-15;7_2018-05-01;8_2018-05-15;9_2018-06-01;10_2018-06-15;11_2018-07-01;12_2018-07-15;13_2018-08-01;14_2018-08-15;15_2018-09-01;16_2018-09-15;17_2018-10-01;18_2018-10-15;19_2018-11-01;20_2018-11-15;21_2018-12-01;22_2018-12-15;23_2019-01-01;24_2019-01-15;25_2019-02-01;26_2019-02-15;27_2019-03-01;28_2019-03-15;29_2019-04-01;30_2019-04-15;31_2019-05-01;32_2019-05-15;33_2019-06-01;34_2019-06-15;35_2019-07-01;36_2019-07-15;complete
DIS005104;Frontotemporal lobar degeneration;22144;22144;22144;22144;22144;22144;22144;22144;22194;22194;22194;22194;22194;22194;22121;22121;22121;22121;22121;22121;22121;22121;22121;22121;22121;22101;22101;22101;22101;22101;22101;22101;22101;22101;22101;22101;0
DIS008128;Hiatal hernia;0;0;0;25687;25687;25687;25700;25717;25717;25717;25717;25717;25734;25734;25734;25940;25940;25940;25940;25940;25940;25940;25940;25940;25940;25940;25940;25940;25940;26180;26088;26088;26076;26076;26072;26072;3
DIS003775;Giant axonal neuropathy;11311;11595;11595;11595;11595;11595;11595;11595;11595;11595;11595;11954;11595;11595;11595;11595;11595;11595;11595;11595;11595;11595;11595;11595;11595;11595;11595;11595;11595;11595;11595;11709;11709;11709;11709;11709;0
DIS005002;Corneal ulcer;26978;26978;26978;26978;26978;27209;27209;27209;27209;27209;27209;27209;27209;27209;27209;27209;27209;27216;27216;27216;27648;27648;27648;27648;27648;27701;27701;27701;27701;27701;27701;27701;27701;27701;27701;27701;0
DIS000278;Emphysematous cystitis;12115;12115;12115;12115;12115;12115;12115;12115;12115;12115;12115;12115;12115;12115;11867;11867;11867;11867;11867;11867;8417;8417;8417;8417;8417;8546;8546;8546;8584;8584;8584;8584;8584;8584;8584;8584;0
DIS007783;Multiple endocrine neoplasia type 2b;24474;24474;24474;24474;24474;24474;24526;24526;24526;24526;24533;24533;24533;24533;24533;24534;24534;24534;24534;24534;24534;24534;24534;24520;24520;24520;24611;24661;24645;24738;24738;24738;24738;24738;24738;24824;0
DIS006550;Thyroid hormone resistance;0;0;0;0;0;0;0;0;23275;23275;23297;23297;23297;23297;23297;23297;23291;23291;23291;23291;23291;23291;23291;23291;23374;23420;23420;23420;23449;23449;23449;23449;23449;22965;22965;22983;8
DIS006556;Sleepwalking;30482;30756;30756;30756;34371;33680;33655;33655;33655;33653;33653;33653;33706;33706;33706;33372;33228;33228;33228;33237;33237;33237;33237;33239;33223;33223;33215;33510;33989;33989;33989;33989;37420;37419;37410;37411;0
DIS007884;Cannabis use disorder;34851;34851;34851;34880;34880;34880;34850;35811;35696;35696;35696;35706;35706;36159;36159;36159;36159;36159;36159;36159;36346;36346;36346;36316;35661;38374;38373;38624;38624;42088;44241;44211;44211;44264;44364;44364;0
DIS004810;Fibromyalgia;75355;75366;75377;75378;75761;75733;76158;76158;75802;75960;75896;75896;75910;75910;75910;75907;76380;76377;76376;76376;76374;76374;76399;76399;76403;76299;75328;75334;75334;75342;75517;75514;75495;76405;77684;79046;0
DIS003854;Sertoli cell tumour;11227;11265;11265;11415;11415;11415;11415;11415;11415;11415;11415;11415;11415;11415;11415;11415;11415;11468;11468;11468;11468;11468;11468;11468;11468;11468;11468;11468;11483;11483;11483;11483;11483;11483;11483;11483;0
DIS005518;Hereditary diffuse leukoencephalopathy with spheroids;16558;16558;16558;16558;16558;16558;16558;16558;16558;16558;16558;16558;16558;16558;16558;16558;16558;16558;16558;16558;16558;16558;16558;16558;16558;16558;16558;16558;16558;16558;16558;16558;16558;16558;16558;16558;0
DIS007202;Perinatal asphyxia;12737;12737;12737;12737;12780;12759;12861;12861;12861;12861;12861;12861;12861;12962;12962;12962;12962;13082;13062;13062;12942;12942;12942;12942;13048;13048;13048;13048;13048;13048;13049;13049;13049;13049;13049;13081;0
DIS005817;Ichthyosis acquisita;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8744;8744;8744;8744;8744;8744;30
DIS006018;Aromatase excess syndrome;29682;29682;29682;29727;29727;29727;29727;29727;29740;29740;29740;29740;29740;29740;29847;29847;29847;29847;29847;29847;29847;29846;29846;29846;29846;29846;29846;29846;29861;29693;29693;29693;29693;29693;29693;31213;0
DIS001852;Vaccine-associated sarcoma;9469;9469;9469;9469;9469;9469;9469;9494;9494;9494;9494;9494;9494;9494;9494;9494;9494;9494;9494;9494;9494;9494;9494;9494;9494;9339;9338;9338;9338;9338;9338;9338;9338;9338;9338;9338;0
DIS004261;Neurogenic bladder dysfunction;11178;11178;11178;11178;11178;11178;11178;11178;11178;11178;11178;12085;12148;12148;12148;12148;12148;12216;12216;12216;12216;12216;12216;12216;12216;12216;12216;12216;12216;12216;12186;12186;12186;12186;12186;12186;0
DIS007663;Dysthymia;41189;42083;42082;41005;41005;41005;41030;41023;41034;40996;40996;41130;41130;41130;41134;41134;41026;41026;41026;41026;41026;41026;41026;41026;41026;41026;41582;41582;41631;41631;41631;41631;41619;41619;41619;41619;0
DIS010396;Disruptive mood dysregulation disorder;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19100;19129;19610;19610;19610;19610;19610;19610;19610;19610;19610;19610;24
DIS011022;XXYY syndrome;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14931;14931;14931;14931;14931;14931;14931;14931;15142;15142;15142;15142;24
DIS004131;Lupus erythematosus;21956;21956;21956;21956;21956;21956;21956;23205;23205;23205;23205;23205;23205;23205;23205;23205;23205;23205;23305;23596;23596;23596;23596;23409;24005;24005;24005;24005;24005;24005;24005;24005;24186;24186;24186;24186;0
DIS000242;Fin rot;6747;6747;6747;6747;6747;6747;6747;6747;6747;6747;6747;6747;6747;6747;6747;6747;6747;6679;6679;6679;6679;6679;6679;6679;6679;6704;6704;6753;6753;6753;6753;6753;6813;6813;6813;6813;0
DIS004681;Ergotism;17352;17352;17352;17340;17528;17597;17542;17542;17542;17555;17555;17555;17555;17555;17555;17555;17555;17606;17606;17606;17615;17615;17615;17615;17605;17605;17605;17605;17605;17605;17605;17605;17605;17605;17605;17605;0
