disease_id;disease_name;1_2018-02-01;2_2018-02-15;3_2018-03-01;4_2018-03-15;5_2018-04-01;6_2018-04-15;7_2018-05-01;8_2018-05-15;9_2018-06-01;10_2018-06-15;11_2018-07-01;12_2018-07-15;13_2018-08-01;14_2018-08-15;15_2018-09-01;16_2018-09-15;17_2018-10-01;18_2018-10-15;19_2018-11-01;20_2018-11-15;21_2018-12-01;22_2018-12-15;23_2019-01-01;24_2019-01-15;25_2019-02-01;26_2019-02-15;27_2019-03-01;28_2019-03-15;29_2019-04-01;30_2019-04-15;31_2019-05-01;32_2019-05-15;33_2019-06-01;34_2019-06-15;35_2019-07-01;36_2019-07-15;complete
DIS005104;Frontotemporal lobar degeneration;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;0
DIS008128;Hiatal hernia;0;0;0;11;11;11;11;11;11;11;11;11;11;11;11;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;3
DIS003775;Giant axonal neuropathy;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0
DIS005002;Corneal ulcer;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;0
DIS000278;Emphysematous cystitis;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;0
DIS007783;Multiple endocrine neoplasia type 2b;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;0
DIS006550;Thyroid hormone resistance;0;0;0;0;0;0;0;0;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;8
DIS006556;Sleepwalking;21;21;21;21;21;20;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;22;22;22;22;23;23;23;23;0
DIS007884;Cannabis use disorder;8;8;8;8;8;8;8;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;0
DIS004810;Fibromyalgia;35;35;35;35;35;35;39;39;39;39;39;39;39;39;39;39;40;40;40;40;40;40;40;40;40;41;40;40;40;40;40;40;40;40;40;40;0
DIS003854;Sertoli cell tumour;3;3;3;3;3;3;3;3;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;0
DIS005518;Hereditary diffuse leukoencephalopathy with spheroids;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;0
DIS007202;Perinatal asphyxia;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;0
DIS005817;Ichthyosis acquisita;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3;3;3;30
DIS006018;Aromatase excess syndrome;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;0
DIS001852;Vaccine-associated sarcoma;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;0
DIS004261;Neurogenic bladder dysfunction;6;6;6;6;6;6;6;6;6;6;6;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;0
DIS007663;Dysthymia;18;20;20;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;0
DIS010396;Disruptive mood dysregulation disorder;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;14;14;14;14;14;14;14;14;14;14;14;24
DIS011022;XXYY syndrome;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;9;9;9;9;9;9;9;9;9;9;9;24
DIS004131;Lupus erythematosus;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;0
DIS000242;Fin rot;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
DIS004681;Ergotism;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;0
DIS005537;Endophthalmitis;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;0
DIS002231;Gray matter heterotopia;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0
DIS007077;Cushing's disease;25;25;25;25;25;25;25;26;26;26;26;26;26;26;26;26;26;26;26;26;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;0
DIS010390;Lymphocytic meningoradiculitis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;9;9;9;0;9;9;9;9;9;9;9;25
DIS003641;Hemiparesis;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;0
DIS010497;Back strain;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3;0;3;3;3;3;3;3;3;25
DIS004218;Intracranial hemorrhage;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;0
DIS004310;Addison's disease;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;0
DIS010953;Constriction ring syndrome;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;13;13;13;13;13;13;13;13;13;13;19;24
DIS006827;Rabies;23;23;23;23;23;23;23;23;23;24;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;0
DIS008294;Phantom vibration syndrome;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4
DIS004658;Penicilliosis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;5;5;5;5;5;5;5;5;0;27
DIS004107;Pterygium (conjunctiva);6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;0
DIS007888;Medial pontine syndrome;0;0;0;0;0;0;0;0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;8
DIS010700;Dysfibrinogenemia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;5;5;5;11;11;11;11;11;11;11;11;24
DIS004009;Azotemia;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;0
DIS003598;Cervical intraepithelial neoplasia;0;0;0;1;9;9;9;9;9;10;10;10;10;10;10;10;10;10;10;10;10;11;12;12;12;12;12;12;12;12;12;12;12;12;12;12;3
DIS010346;Sleep hollow;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;7;7;7;0;7;7;7;7;7;7;7;25
DIS008081;Ovarian hyperstimulation syndrome;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;12;12;12;12;12;12;12;12;12;12;12;0
DIS004435;Febrile seizure;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;0
DIS004567;Dentinogenesis imperfecta;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0
DIS003622;Pulmonary insufficiency;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;0
DIS008333;Isodicentric 15;0;0;0;0;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4
DIS004374;Dystonia;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;0
DIS010290;Jersey Finger;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;3;18
DIS003217;Pyomyositis;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;10
DIS010691;Median nerve palsy;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;13;13;13;0;13;13;13;13;13;13;13;25
DIS003370;Congenital melanocytic nevus;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;0
DIS000559;Diabetic foot ulcer;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;9;9;9;9;9;9;9;9;9;9;9;9;0
DIS005974;Mongolian spot;4;4;4;4;4;4;4;4;5;6;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;0
DIS006000;Peripheral neuropathy;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;39;39;39;38;38;38;38;38;38;38;38;38;38;38;38;0
DIS005383;Poliomyelitis;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;0;0;0;0;0;0;0;0;0;9
DIS007851;Leukocoria;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;0
DIS007861;Multiple organ dysfunction syndrome;14;14;14;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;0
DIS010697;Dural arteriovenous fistula;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;13;13;13;13;13;13;13;13;13;13;9;24
DIS005690;Autonomic dysreflexia;23;23;23;23;23;23;23;23;23;23;23;23;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;0
DIS004240;Male breast cancer;8;8;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;0
DIS004601;Cutaneous larva migrans;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;0
DIS003290;Gastrointestinal bleeding;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;0
DIS006428;Metaplasia;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
DIS006364;Childhood arthritis;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;0
DIS000213;Acute exacerbation of chronic obstructive pulmonary disease;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;0
DIS002571;Infectious necrotic hepatitis;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;0
DIS008097;Glanzmann's thrombasthenia;8;8;8;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;0
DIS006557;Uterine incarceration;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;0
DIS005816;Hypocalcaemia;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;24;24;24;24;24;24;24;24;24;24;24;24;24;0
